PostDate,Headline,Preview
Posted at 13:36 28 Nov 2019,Ukrainians condemn Apple's Crimea change,Politicians and bloggers are outraged after the firm agrees to show Crimea as a Russian territory.
Posted at 18:45 27 Nov 2019,Apple changes Crimea map to meet Russian demands,"Apple Maps now shows Crimea - annexed from Ukraine in 2014 - as part of Russia, when viewed there."
Posted at 10:51 27 Nov 2019,Households 'ready to spend £600m extra per year on streaming',
Posted at 17:01 21 Nov 2019,Apple 'loses money on phone repairs',Apple says it loses money when it repairs devices such as iPhones and Macbooks.
Posted at 10:41 21 Nov 2019,Apple cancels Banker film premiere over 'concerns',"The Banker, one of Apple's first original movies, has its red carpet gala pulled at the last minute."
Posted at 2:02 20 Nov 2019,Music streaming market 'needs more choice',"Music fans deserve more options and choices from streaming services, says a new report."
Posted at 1:06 19 Nov 2019,How China plans to lead the computer chip industry,"China wants to end its dependence on imported computer chips, but experts says it will struggle."
Posted at 1:29 17 Nov 2019,Why tech giants are putting billions into housing,The booming tech industry has pushed San Francisco house prices out of the reach of ordinary workers.
Posted at 14:05 15 Nov 2019,Apple removes vaping apps from store,The ban will hit 181 apps but anyone already using a vaping program will be able to continue using it.
Posted at 13:40 14 Nov 2019,Google set to offer banking current accounts,The tech giant plans to partner with banks and credit unions in the US to offer current accounts.
Posted at 15:51 13 Nov 2019,Apple addresses keyboard gripes with new laptop,Keyboards on previous MacBook Pros had divided opinion - the new model's keyboard has been redesigned.
Posted at 15:37 13 Nov 2019,Apple worker texts himself customer's intimate picture,
Posted at 15:23 13 Nov 2019,Apple worker 'texts himself woman's private photo',"After a phone screen repair, the woman was shocked to find an ""extremely personal"" photo had been sent."
Posted at 7:20 12 Nov 2019,Disney bets the House of Mouse on streaming,Disney's highly-anticipated streaming service launches in some markets on Tuesday.
Posted at 21:57 11 Nov 2019,Apple throws Instagram 'stalker' app off store,"Like Patrol had offered users a way to see which posts their ""friends liked"" and whom they followed."
Posted at 16:22 11 Nov 2019,Apple's 'sexist' credit card probed by regulator,"Goldman Sachs, which operates Apple Card, discriminates between men and women, it is claimed."
Posted at 12:21 8 Nov 2019,Valentine's Day text glitch causes mass confusion,"Almost 200,000 text messages originally sent in February arrived on Wednesday evening."
Posted at 11:57 4 Nov 2019,TikTok and Apple decline to testify over China,"The US senator who invited them to a Congress hearing asks whether they have ""something to hide""."
Posted at 2:12 2 Nov 2019,Apple TV's big debut with Aniston and Witherspoon ★★☆☆☆,"""The opening episode is as bad as anything I've seen since we entered this golden age of telly."""
Posted at 2:08 2 Nov 2019,Night Mode: Which phone camera comes out on top?,"The latest phones from Apple, Huawei and Google are put to the test at night in London."
Posted at 22:58 1 Nov 2019,How STV survives clash of the giants,"The boom in streaming services is set to continue with Apple, Disney and Warner Media joining the fray."
Posted at 20:36 1 Nov 2019,Kuwait moves on Instagram slave traders,Authorities summon the owners of several social media accounts used to sell domestic workers.
Posted at 23:42 31 Oct 2019,Slave markets found on Instagram and other apps,Domestic workers have been illegally sold via Instagram and other apps on Google and Apple's stores.
Posted at 14:55 31 Oct 2019,Streaming TV: 'Not everyone will survive',"As Apple launches its own TV streaming platform, what will it mean for Netflix, Apple and Amazon?"
Posted at 23:30 30 Oct 2019,Apple profits hit by slowing iPhone sales,Sales of the iPhone fell about 10% from the same period in 2018.
Posted at 13:27 28 Oct 2019,iPhone 5 users risk losing internet access,Apple says users will be left without access to email or the internet unless they update software this week.
Posted at 4:41 11 Oct 2019,Few convinced by Apple's case for Hong Kong app removal,Apple's removal of an app used to track Hong Kong police leads to claims it was bowing to Beijing pressure.
Posted at 7:10 10 Oct 2019,Apple and China: 'A delicate balancing act',
Posted at 6:52 10 Oct 2019,Apple drops Hong Kong police-tracking app,The company says the app has been used to target and ambush police and to threaten public safety.
Posted at 6:19 10 Oct 2019,Apple says...,
Posted at 6:14 10 Oct 2019,Apple pulls Hong Kong app after China criticism,
Posted at 13:57 7 Oct 2019,Apple approves Hong Kong protest location app,"The firm had said the app, which shows protesters where the police are, ""enabled illegal activity""."
Posted at 11:00 4 Oct 2019,Man sues Apple claiming iPhone turned him gay,The Russian says he has suffered 'moral harm' and wants damages from the tech giant.
Posted at 12:03 3 Oct 2019,Apple bans Hong Kong protest location app,The smartphone app provides information about the location of police and where tear gas was being used.
Posted at 11:21 26 Sep 2019,Heads up: Why tech is in a race for your face,
Posted at 10:43 26 Sep 2019,Heads up - why tech is in a race for your face,Why your mouth makes your eyes and ears the hottest real estate in tech right now.
Posted at 11:44 17 Sep 2019,Irish EU court appeal on Apple tax ruling,The Republic of Ireland argues it should not have to recover €13bn of unpaid taxes from Apple.
Posted at 8:45 17 Sep 2019,Apple begins battle to overturn European Commission fine,
Posted at 13:40 16 Sep 2019,TV entering 'second wave' of disruption,BBC boss Lord Hall will say in a speech the arrival of new streaming services will change the game again.
Posted at 0:26 13 Sep 2019,High-tech ways to keep employees happy,Companies offer gym deals and cycle schemes - but how do they know if these are what staff want?
Posted at 12:08 11 Sep 2019,Apple's iPhone 11 Pro 'triggering' fear of holes,"People with ""trypophobia"" are complaining about Apple's latest handsets."
Posted at 11:00 11 Sep 2019,New iPhone 11 set to woo India's growing market,The iPhone 11 is likely to help Apple consolidate in one of the world's only growing smartphone markets.
Posted at 23:27 10 Sep 2019,Hands-on with iPhone 11 and 11 Pro,The BBC's Dave Lee tries out a slow-motion selfie on the iPhone 11.
Posted at 20:53 10 Sep 2019,Apple unveils iPhone 11 Pro and 'always-on' Watch,"The new handsets gain ""ultrawide"" angle lenses and longer battery life, but there is no 5G phone."
Posted at 6:01 10 Sep 2019,Apple launch overshadowed,
Posted at 5:50 10 Sep 2019,Trump’s tariffs puts Apple’s golden goose at risk,"Apple is about to launch its new iPhone, but the US-China trade dispute overshadows its new features."
Posted at 13:40 9 Sep 2019,Apple responds to iPhone factory criticism,Apple denies claims that staff experience poor working conditions in the Foxconn factory.
Posted at 23:36 6 Sep 2019,"Apple, angry at Google, hits back at hack claims","Apple admonishes Google over its research into a security vulnerability, saying it painted an incomplete picture."
Tech stocks lead US shares higher,Tech stocks lead US shares higher,
Posted at 8:48 30 Aug 2019,Why global brands in India can celebrate,India's new rules on foreign investment rules are a game changer. Here's why.
Posted at 6:18 30 Aug 2019,Google finds 'indiscriminate iPhone attack lasting years',
Posted at 5:52 30 Aug 2019,Google finds 'iPhone attack lasting years',"Criminals used previously unknown vulnerabilities to implant monitoring software, research shows."
Posted at 18:09 28 Aug 2019,Apple apology after workers heard Siri recordings,Workers were paid to check how well Siri transcribed speech - but many users didn't realise this.
Posted at 15:09 27 Aug 2019,Patent dispute threatens iPhone sales,Apple and Google are among the companies at risk over a US chipmaker's lawsuit.
Posted at 0:23 27 Aug 2019,"Free iPads for nearly 50,000 school pupils",The scheme to encourage children to embrace the digital age will be rolled out over the next two years.
Posted at 0:29 24 Aug 2019,Tech firms must give up their awkward secret: Humans,"Silicon Valley needs to start being honest about privacy, even if that makes them uncomfortable at first."
Posted at 16:33 22 Aug 2019,Apple Card can be damaged by wallets and jeans,
Posted at 12:36 22 Aug 2019,Apple Card can be damaged by wallets and jeans,Apple advises owners of its new credit card to keep it away from leather and denim.
Posted at 6:12 19 Aug 2019,Apple warns Trump on China tariffs,
Posted at 22:29 13 Aug 2019,Trump delays some tariffs on Chinese imports,Apple shares soar as the US delays imposing tariffs on mobile phones and other items from China.
Posted at 12:01 2 Aug 2019,Apple and Google stop workers playing back voices,The tech giants say they will temporarily stop using humans to monitor smart speaker recordings.
Posted at 19:28 1 Aug 2019,Nature's words hijacked by technology,A new study across three generations shows words from nature are now used more commonly for technology
Posted at 16:40 31 Jul 2019,Alphabet becomes cash king - FT,
Posted at 14:47 31 Jul 2019,Apple regains $1 trillion crown after shares jump,
Posted at 23:02 30 Jul 2019,Apple sales rise while iPhone revenues dip,"Third quarter sales rose 1% to $53.8bn, but net profit dropped 13% to $10bn."
Posted at 13:18 30 Jul 2019,Google reveals fistful of flaws in Apple's iPhones,The security researchers involved say that Apple has yet to fix all of the discovered flaws.
Posted at 8:01 27 Jul 2019,Trump threatens tariffs over Macron 'foolishness',The US president hints he will retaliate against a French digital tax by imposing duty on French wine.
Posted at 8:12 26 Jul 2019,Apple pays $1bn for Intel chip unit,
Posted at 13:30 24 Jul 2019,Will the US break up the tech giants?,The US Department of Justice has launched a probe into the dominance of major tech companies.
Posted at 6:09 24 Jul 2019,Technology giants' power to be probed in US,
Posted at 1:06 17 Jul 2019,Guide dog and wheelchair user among new emojis,The Emojis have been released by Apple and Android to better represent disabled people.
Posted at 14:01 11 Jul 2019,France passes tax on tech firms despite US threats,The Trump administration says the new 3% tax on sales in France will harm US online giants.
Posted at 12:49 11 Jul 2019,Apple Watch bug allowed iPhone eavesdropping,Apple has disabled Walkie-Talkie mode after a security flaw was found.
Posted at 13:01 9 Jul 2019,Macs 'vulnerable' to Zoom video flaw,"The vulnerability could let malicious attackers force Macs to join video conferences, says researcher."
Posted at 10:26 29 Jun 2019,Jony Ive's next chapter after Apple,The designer's influence extended far beyond Apple and will likely continue to do so for some time.
Posted at 16:32 28 Jun 2019,Ive's effect on Apple,
Posted at 14:41 28 Jun 2019,Who is Apple's top designer Jony Ive?,Sir Jonathan Ive was responsible for the design of some of Apple's most iconic and successful products.
Posted at 14:13 28 Jun 2019,"How much did Apple grow with Ive?
Wake Up To Money presenter tweets",
Posted at 12:32 28 Jun 2019,How iPhones have changed over the years,"As designer Jony Ive leaves Apple, Newsbeat looks at how iPhones have changed through the years."
Posted at 12:06 28 Jun 2019,iPhone designer Jony Ive to leave Apple,
Posted at 12:01 28 Jun 2019,Five Jony Ive designs you probably don't know,Jony Ive famously designed some of Apple's best-selling products - but he has other strings to his bow.
Posted at 10:54 28 Jun 2019,iPhone designer Jony Ive to leave Apple,The British designer's work helped turn Apple into the world's most valuable company.
Posted at 8:40 28 Jun 2019,Ive talks of 'fanatical curiosity',
Posted at 6:15 28 Jun 2019,iPhone designer to leave Apple,
Posted at 4:40 21 Jun 2019,Apple warns China tariffs will help rivals,"Apple says US plans to impose more tariffs on Chinese goods would hurt its ""global competitiveness""."
Posted at 19:08 7 Jun 2019,Tech Tent: Apple takes a stand on design,"On this week's podcast, we ask whether people will continue to pay a premium for Apple products."
Posted at 14:39 4 Jun 2019,Apple's services disrupted for some,"App store, music and radio services not working for ""some users""."
Posted at 14:25 4 Jun 2019,A brief history of Apple's iTunes,"Apple is now promoting new apps for music, TV and podcasts."
Posted at 11:32 4 Jun 2019,Politicians to probe 'broken' internet,A US committee will take a fresh look at the impact of the big four tech firms.
Posted at 8:20 4 Jun 2019,Apple boss: 'We focus on the user',Apple boss Tim Cook unveils new privacy protections
Posted at 20:40 3 Jun 2019,Apple dissolves iTunes into new apps,The tech giant also unveiled new privacy measures at its developer conference in San Jose.
Posted at 15:08 30 May 2019,"Google, Apple criticise GCHQ snooping tech",The tech giants are among 47 organisations to hit out at a plan to look at encrypted messages.
Posted at 14:07 22 May 2019,Apple to warn iPhone users over updates,
Posted at 13:45 22 May 2019,Apple to warn iPhone users about update impact,"The tech giant must tell customers if a software update will slow down their iPhone, UK regulator has said."
Posted at 5:49 14 May 2019,Markets update,
Posted at 16:42 13 May 2019,Apple faces customer lawsuit over app store,"Apple charges 30% commission on all app purchases, but there is nowhere else for iPhone users to buy them."
Posted at 15:43 13 May 2019,Apple lawsuit given green light,
Posted at 13:37 13 May 2019,US shares slide on trade war fears,
Posted at 13:39 1 May 2019,Apple sales fall,
Posted at 8:34 1 May 2019,Apple iPhone sales drop at record pace,"Smartphone revenue falls at its steepest-ever rate, but the technology giant is upbeat on the future."
Posted at 11:31 30 Apr 2019,When will you next buy a phone?,Mobile phone sales worldwide are declining but is our love affair with them over?
Posted at 12:00 29 Apr 2019,Apple defends axing parental control apps,Apple says some parental control apps were removed from the App Store because of security concerns.
Posted at 10:45 26 Apr 2019,Apple recalls UK plugs over safety fears,Risk of electric shock from broken plugs forced recall from Apple.
Posted at 8:58 26 Apr 2019,'I froze when penis pic dropped on my phone',What happened when a stranger AirDropped a picture of his naked body onto my phone.
Posted at 15:54 23 Apr 2019,Student says Apple AI led to false arrest,A man is suing Apple after claiming its in-store AI led to his arrest.
Posted at 8:18 17 Apr 2019,Apple and Qualcomm drop billion-dollar battle,The surprise settlement brings a long-running legal battle between the two tech firms to an end.
Posted at 7:24 17 Apr 2019,Netflix subscriber growth slows,
Posted at 13:19 16 Apr 2019,Game of Thrones suffers Apple TV glitch,Sky's Now TV app failed to load for some viewers while displaying a degraded version of the show.
Posted at 12:24 15 Apr 2019,Apple and Qualcomm square off in court,The row is about how much phone makers should pay for the chips essential to modern smartphones.
Posted at 11:55 12 Apr 2019,Streaming TV: 'Not everyone will survive',"As Disney moves into streaming TV what will it mean for Netflix, Apple and Amazon?"
Posted at 14:03 11 Apr 2019,1977: Apple,"Author and broadcaster Michael S Malone tells the story of the Apple II personal computer, an invention which helped to revolutionise the way we work and play."
Posted at 11:51 11 Apr 2019,Smart speaker recordings reviewed by humans,"Staff at Amazon, Apple and Google listen to customer voice recordings."
Posted at 12:31 9 Apr 2019,Men accused of $1m fake iPhone scam,Two Chinese men studying at an American university are accused of submitting fraudulent repair claims.
Posted at 21:15 29 Mar 2019,Apple abandons wireless charging product,"The computing giant admits it is unable to make its AirPower product work to its ""high standards""."
Posted at 18:58 29 Mar 2019,"Tech Tent: Apple, Lyft and feel-good tech","Lyft shares, Apple TV+, and those times when tech gets it right."
Posted at 1:00 29 Mar 2019,"Should Google, Amazon and Facebook fear this woman?",Some think the US tech giants are far too powerful. What would be the best way to curb their power?
Posted at 21:48 28 Mar 2019,Apple: Buffett says the consumer will be the winner,
Posted at 11:53 28 Mar 2019,Mac v PC - who's cooler now?,"As Apple prepares to follow Microsoft with a hardware launch, Rory Cellan-Jones asks who has the edge."
Posted at 7:04 26 Mar 2019,Apple unveils TV streaming platform,
Posted at 22:21 25 Mar 2019,Apple unveils TV streaming platform,"The tech giant confirmed it was focusing on online services, rather than devices, at a live event."
Posted at 7:38 25 Mar 2019,Will people want yet another video streaming subscription?,
Posted at 7:05 25 Mar 2019,Good morning,
Posted at 2:35 25 Mar 2019,What's happening this week?,Our round-up of the world's most interesting news events of the next seven days.
Posted at 22:58 22 Mar 2019,Is Apple about to expand its TV business?,"With iPhone sales slowing, could the tech giant be about to announce a move into subscription TV?"
Posted at 16:46 20 Mar 2019,Apple's new AirPods have Siri built-in,The new earphones also have longer battery life and a chip that can better maintain a wireless connection.
Posted at 12:53 15 Mar 2019,Apple responds to Spotify complaints,The tech giant has hit back over claims that its App store is unfair and levies a tax on developers.
Posted at 11:45 15 Mar 2019,Apple hits back in Spotify row,
Posted at 17:03 9 Mar 2019,Warren: I will break up the tech giants,"The US Democratic presidential hopeful tells a rally she is ""sick of freeloading billionaires""."
Posted at 13:15 7 Mar 2019,Does Trump get Apple boss’s name wrong?,The US president was praising the work of Tim Cook at an American Workforce Policy Advisory Board meeting.
Posted at 12:02 5 Mar 2019,Saudi app 'not against' Google rules,"A US congresswoman says Google told her the app, which can track women, was not in breach of its terms and conditions."
Posted at 10:48 14 Feb 2019,Ex- Apple lawyer charged with insider trading,
Posted at 4:04 14 Feb 2019,Ex-Apple lawyer charged with insider trading,Gene Levoff is accused of engaging in insider trading on several occasions between 2011 and 2016.
Posted at 19:12 13 Feb 2019,Apple to investigate Saudi app,An app that can be used by men to stop women leaving the country will be investigated by Apple.
Posted at 12:54 8 Feb 2019,Apple to pay teen who found FaceTime bug,The flaw let iPhone owners eavesdrop on people they called via the FaceTime video-chat system.
Posted at 17:55 6 Feb 2019,'Why can't I see my daughter's data?',The parents of Molly Russell hope to gain access to her social media data to help understand her suicide.
Posted at 13:16 6 Feb 2019,Disability-themed emojis approved for use,A list of 230 new emojis also includes a blood drop meant to represent menstruation.
Posted at 0:08 6 Feb 2019,Apple retail boss Angela Ahrendts to go,The former Burberry chief is leaving after five years working to revitalise Apple stores.
Posted at 13:35 5 Feb 2019,Apple reportedly settles French tax bill,French magazine L'Express reports the firm paid nearly £440m tax in a secret pact late last year.
Posted at 10:56 5 Feb 2019,Apple reaches tax settlement in France,
Posted at 16:20 1 Feb 2019,Apple to issue fix for Facetime bug,A software patch for the flaw will be rolled out next week and restore FaceTime features to phones.
Posted at 12:31 1 Feb 2019,Apple punishes Google over app rules,
Posted at 6:13 1 Feb 2019,Apple punishes Google over app rules,Apple revoked Google's ability to create internal iPhone apps for its staff.
Posted at 7:50 31 Jan 2019,Panic at Facebook over Apple move,
Posted at 3:54 31 Jan 2019,China factory activity shrinks amid slowdown,The data comes as several global firms warn China's slowing economy will hit their bottom line.
Posted at 16:00 30 Jan 2019,Facebook paid teens to mine device data,Apple is restricting Facebook's ability to distribute iOS apps as punishment for breaking its rules
Posted at 12:04 30 Jan 2019,Apple hints at lower iPhone prices,Revenue from the tech giant's signature iPhone fell 15% in the most recent quarter.
Posted at 8:28 30 Jan 2019,China tough for all smartphone makers,
Posted at 8:11 30 Jan 2019,When loyalty wanes...,
Posted at 7:18 30 Jan 2019,Apple iPhones hit 'saturation point',
Posted at 22:36 29 Jan 2019,Apple warns on second quarter sales,
Posted at 22:09 29 Jan 2019,Mother and son 'tried to warn Apple of bug',Michele Thompson and her 14-year-old son made repeated attempts to warn Apple about serious 'eavesdropping' bug.
Posted at 10:27 29 Jan 2019,Apple rushes to fix FaceTime 'eavesdropping' bug,"The bug allows someone to activate a target's microphone, even if they do not answer the call."
Posted at 10:26 29 Jan 2019,New York mayor steps into Apple 'eavesdropping bug' row,
Posted at 7:57 28 Jan 2019,What's in today's papers,
Posted at 7:17 24 Jan 2019,Apple axes 200 staff on self-driving car project - report,
Posted at 16:09 21 Jan 2019,"Amazon, Apple, Google face data complaints",The entertainment streaming giants are accused of breaking the EU's data protection rules.
Posted at 16:19 17 Jan 2019,Apple boss calls for action on privacy,
Posted at 7:30 17 Jan 2019,Apple to cut hiring on weak iPhone sales - report,
Posted at 19:30 16 Jan 2019,Sofia Coppola to direct Apple's first film,
Posted at 16:27 16 Jan 2019,Domino's Pizza defeated in court over app,A blind man had complained that he was unable to change toppings or complete his order online.
Posted at 14:01 16 Jan 2019,Coppola to direct first Apple film,"On the Rocks, starring Bill Murray, will be the tech giant's first venture into feature film-making."
Posted at 9:19 16 Jan 2019,Smartwatches: Switzerland's friend or foe?,The Swiss watch industry faced a near-death experience from quartz products. Is the smartwatch a similar threat?
Posted at 20:24 14 Jan 2019,Charlie Sloth joins Apple's Beats 1 radio station,"The DJ, who left Radio 1 at the end of 2018, described Apple Music as ""future-proof""."
Posted at 18:51 11 Jan 2019,China retailers cut iPhone prices after Apple sales warning,
Posted at 14:16 11 Jan 2019,Apple to launch three iPhones this year,
Posted at 11:28 9 Jan 2019,Apple to 'cut iPhone production',
Posted at 10:27 8 Jan 2019,Amazon becomes world's biggest public company,
Posted at 1:30 8 Jan 2019,Samsung adds rival Apple's iTunes to TVs,The South Korean TV maker has embedded the US firm's film and TV store in its new smart TVs.
Posted at 21:49 7 Jan 2019,Shutdown 'embarrassing' to US tech industry,"The White House does not fully understand the ramifications, a leading tech industry figure tells the BBC."
Posted at 14:03 4 Jan 2019,Huawei staff punished over iPhone tweet,"Two employees are reportedly demoted over a social media post displaying ""via Twitter for iPhone""."
Posted at 22:27 3 Jan 2019,Apple shares close nearly 10% lower,The iPhone maker's shares fell sharply on Thursday in the wake of its warning over China sales.
Posted at 21:11 3 Jan 2019,Apple told to pull iPhones from Germany,Apple has been ordered by a court to remove iPhone 7 and iPhone 8 models from its German stores.
Posted at 18:13 3 Jan 2019,Just how bad is it for Apple?,"It may have provoked mild panic among investors, but there are many reasons to remain calm about Tim Cook's Apple."
Posted at 17:25 3 Jan 2019,Apple overtaken by Alphabet,
Posted at 15:23 3 Jan 2019,Apple set to open lower,
Posted at 13:22 3 Jan 2019,Apple blames China for sales forecast cut,"Apple boss Tim Cook says the firm ""did not foresee the magnitude of economic deceleration"" in China."
Posted at 8:31 3 Jan 2019,Is Apple making China a scapegoat?,The tech firm blames China for troubles but analysts say the sales warning highlights existing woes.
Posted at 7:40 3 Jan 2019,China in slow gear,
Posted at 7:29 3 Jan 2019,Is Apple making China a scapegoat?,
Posted at 7:06 3 Jan 2019,Apple blames China for sluggish business,
Posted at 1:58 30 Dec 2018,2018: Chasing up tech's biggest stories,"From fake porn to Facebook scandals, security alerts to Google protests - 2018 was a busy year."
Posted at 1:29 26 Dec 2018,Are you ready to break up with your phone?,Smartphone owners have a growing sense of unease about the amount of time spent staring at that screen.
Posted at 16:17 24 Dec 2018,Tech firms called to 'remove anti-gay app',"Google and Amazon pressured to follow Apple and ban organisation that calls homosexuality ""sinful""."
Posted at 17:26 20 Dec 2018,Germany rules Apple infringed Qualcomm patent,
Posted at 17:14 17 Dec 2018,Shazam reveals 2018's most-searched songs,"A lot of people wanted to know the name of the song that goes: ""I do it solo."" (It's called Solo.)"
Posted at 17:01 17 Dec 2018,Apple FaceTime car crash lawsuit dismissed,Appeal court dismisses case alleging Apple's responsibility in Christmas Eve crash in Texas in 2014.
Posted at 13:23 13 Dec 2018,Apple to create $1bn Texas base,The company says it expects to become Austin's biggest private employer.
Posted at 10:21 13 Dec 2018,Apple to build new $1bn campus in Texas,
Posted at 1:32 13 Dec 2018,"'Tech cluster will create 3,500 jobs'","A south Wales hub is developing the latest technology for driverless cars, robots and mobile phones."
Posted at 7:42 12 Dec 2018,"Scam alert after £3,000 phone delivery",A man is arrested after a homeowner received electrical goods she had never ordered.
Posted at 15:02 11 Dec 2018,Huawei arrest puts 'bullseye' on Apple,
Posted at 3:11 11 Dec 2018,Huawei arrest puts 'bullseye' on Apple,"China thinks the US is bullying its successful technology firms, and it might be ready to retaliate."
Posted at 21:35 10 Dec 2018,US markets recover,
Posted at 15:51 10 Dec 2018,Apple cloud hangs over Wall Street,
Posted at 21:45 4 Dec 2018,Time for Apple to redefine its core,
Posted at 10:57 4 Dec 2018,Dua Lipa UK's most-streamed female,"The pop star is the most popular female artist in the UK, according to both Spotify and Apple Music."
Apple shares rise,Apple shares rise,
Posted at 15:19 3 Dec 2018,Samsung tweets update via Apple iPhone,The account was closed and many tweets deleted when the mistake was shared on social media.
Posted at 22:52 30 Nov 2018,Microsoft beats Apple for biggest market cap,"Microsoft has reclaimed the title of world's most valuable company, overtaking Apple."
Posted at 18:43 26 Nov 2018,"Microsoft pips Apple
Bloomberg markets tweets",
Posted at 14:53 26 Nov 2018,Apple in court over 30% app commission,Apple faces the US Supreme Court to defend the commission it makes on iPhone app sales.
Posted at 17:37 23 Nov 2018,"Happy 10th birthday, iPhone emoji! See how they've changed","Ten years ago, iPhone added emojis to their keyboard. Take a look in this guide to see how they've changed over time."
Posted at 14:08 23 Nov 2018,Why tech is taking a hammering,"Tighter monetary policy, tougher regulation and the threat of peaking user-bases are putting the brakes on technology stocks."
Posted at 10:59 21 Nov 2018,Apple's share price at a glance,
Posted at 7:40 21 Nov 2018,Customers locked out of Apple's app store and music,
Posted at 1:43 21 Nov 2018,What's gone wrong for Apple?,Shares in the tech giant have dropped 25% since their October peak - so what's the problem?
Posted at 22:03 19 Nov 2018,US stocks close lower,
Posted at 17:54 19 Nov 2018,Taylor Swift signs first major label record deal,The singer has been signed to independent record label Big Machine since she was just 14-years-old.
Posted at 14:01 16 Nov 2018,Apple in deal with Moonlight maker,
Posted at 20:13 14 Nov 2018,Apple Stores to employ trafficking victims,The technology company's retail chief reveals the initiative as she is given the Stop Slavery Award.
Posted at 7:00 13 Nov 2018,Apple suppliers tumble in Asia,
Posted at 22:32 12 Nov 2018,Apple iPhone sales fears rock Wall Street,The tech giant's share price fall has wiped more than $40bn off its market value.
Posted at 18:02 12 Nov 2018,"What else can Apple's losses buy?
US Markets Editor at Financial Times tweets",
Posted at 17:52 12 Nov 2018,"Buy Oracle with Apple's loss
Senior Editor at Bloomberg tweets",
Posted at 16:53 12 Nov 2018,Apple continues to slide,
Posted at 17:23 5 Nov 2018,Apple on the slide,
Apple drags down Wall Street,Apple drags down Wall Street,
Posted at 8:28 2 Nov 2018,Apple investors 'short sighted',
Posted at 23:36 1 Nov 2018,Apple loses its $1tn crown as shares fall,Apple's market value briefly dips below $1tn despite record revenues and profits.
Posted at 18:38 1 Nov 2018,What to expect from Apple,
Posted at 15:51 1 Nov 2018,UK's battle with Apple over EU citizens app,Apple ignores the UK government's plea to allow EU citizens to scan their passports in a new Brexit app.
Posted at 15:00 1 Nov 2018,US stocks gain ground,
Posted at 9:49 1 Nov 2018,Apple tunes in to US radio group,
Posted at 13:52 31 Oct 2018,Frozen Apple Watches must be returned,"Apple has withdrawn a software update after complaints that it ""bricked"" some owners' smartwatches."
Posted at 18:52 30 Oct 2018,Apple's pricier laptops,
Posted at 18:55 26 Oct 2018,Microsoft back in second slot,
Posted at 17:31 26 Oct 2018,Tech Tent: Tim Cook’s privacy crusade,This week the boss of Apple warned about our personal data being 'weaponised against us'.
Posted at 16:20 25 Oct 2018,China mocks Trump iPhone hacking claim,Beijing jokes off a New York Times report that Donald Trump's iPhone calls are being bugged.
Posted at 15:22 24 Oct 2018,Tim Cook: personal data being 'weaponised',Apple chief Tim Cook has called for a tougher data protection law in the United States.
Posted at 13:00 24 Oct 2018,Apple and Samsung fined over slow phones,"The firms have been accused by Italian authorities of building ""planned obsolescence"" into devices"
Posted at 10:29 24 Oct 2018,Apple boss - 'personal data is weaponised',"The Apple boss also praised the EU's new data protection regulation GDPR, in a speech in Brussels."
Posted at 20:33 19 Oct 2018,Apple boss calls for chip story retraction,"Tim Cook takes an unprecedented step in saying an explosive Bloomberg story contained ""no truth""."
Posted at 16:35 14 Oct 2018,Apple Watch link to 'killing' is unlikely,A story is going around that the missing journalist recorded what happened inside the Saudi consulate.
Dialog shares surge on Apple deal,Dialog shares surge on Apple deal,
Posted at 14:47 11 Oct 2018,Apple hires 300 specialists from UK company,The deal represents one of Apple's biggest takeovers in headcount terms.
Posted at 14:58 10 Oct 2018,New tax on tech giants 'by Christmas',"A new tax on tech giants such as Facebook, Amazon and Google could raise £4.4bn a year in Europe."
Posted at 12:29 9 Oct 2018,Minecraft pulled from Apple TV store,"The game will no longer be updated and refunds are available, Microsoft says."
Posted at 14:10 5 Oct 2018,Apple and Amazon deny China hack claims,The tech giants dispute claims that a spy chip tried to steal their corporate secrets and data.
Posted at 9:45 5 Oct 2018,How much do smart speakers really know?,"How do Alexa, Siri and Google Home measure up - and which is the best smart speaker for you?"
Posted at 13:58 4 Oct 2018,'China spy attack hits Apple and Amazon',"A tiny chip added to server circuit boards helped Chinese spies steal corporate data, Bloomberg says."
Posted at 10:23 4 Oct 2018,"China used chip to infiltrate corporates - report
Bloomberg Businessweek reports:",
Posted at 14:33 1 Oct 2018,Warning over 'stalling' digital tax talks,The chancellor threatens a new tax on tech firms unless talks to find an international deal speed up.
Posted at 13:48 1 Oct 2018,Apple silent amid 'chargegate' complaints,Customers complain that the iPhone XS and XS Max do not charge properly when plugged in.
Posted at 23:14 25 Sep 2018,"Original working Apple fetches $375,000","Manufactured in 1976, it is one of only a handful of functional units of its kind left in the world."
Posted at 17:31 25 Sep 2018,Qualcomm claims Apple shared tech with Intel,
Posted at 17:25 25 Sep 2018,Qualcomm says Apple shared tech with Intel,Qualcomm's complaint is the latest clash between the two global technology giants.
Posted at 15:33 24 Sep 2018,Trillion Dollar Companies,Should we be worried about the size and power of tech giants like Amazon and Apple?
Posted at 18:17 18 Sep 2018,Apple pays disputed Irish tax bill,"The tech giant has paid €14bn, that the European Commission ruled it owed due to illegal tax breaks."
Posted at 19:14 17 Sep 2018,Netflix is the FAANGs' biggest faller,
Posted at 17:28 17 Sep 2018,FAANG stocks slide,
Posted at 15:52 17 Sep 2018,Amazon and Apple shares drop on tariffs threat,
